"ID_R","ID_C","supid","yr","n","latn","lonn","demn","ban","arean","duran","mortn","m0.fitted.n","sp.fitted.n"
8,9,1,8,81671,38.2598568111692,-119.285024863477,2404.42118230461,44.1193659928249,0.0489525045609825,21.8754270181582,0.00400386918245154,-2.01487279045245,-2.59861902166071
10,10,1,8,92698,37.3128340821808,-118.806087712248,1841.09047703295,31.1160604328033,0.045837019137414,36.6942652484412,0.034995361280718,-1.445879249122,-1.71105312809441
11,10,1,8,10939,36.7778890323613,-118.685570264649,606.294292896974,10.2694332205869,0.0280647225523357,20.0053021299936,0.0034738093061523,-1.9947578828741,-2.48270496716463
11,11,1,8,113647,36.8302761236548,-118.317193948146,2515.61977588498,44.7104447103751,0.0730771599778261,21.32901880384,0.00215579821728686,-2.04438196730777,-2.51070376407777
12,12,1,8,17926,36.3154653157425,-117.895670046301,3074.80398527279,23.2570986276916,0.108334263081558,25.6081669084012,0.00105991297556622,-2.10557598331904,-2.60088180925854
13,12,1,8,101946,35.8210777642085,-117.857698867538,2526.61757263649,34.9132061091166,0.103780432778137,33.2600003923646,0.051743079669629,-1.47050005522069,-1.56176671995926
16,13,1,8,7381,34.109375,-117.296917338437,1705.39963690557,14.0792995529061,0.187508467687305,24.3834168811814,0.00162579596260669,-1.75178058440037,-2.59066570332664
2,1,1,9,4574,41.484375,-123.484375,769.31,23.73,0.111281154350678,8,0.045255793616091,-2.61048823974571,-2.68970239720223
1,2,1,9,1885,41.734375,-122.609375,1250.79,46.19,0.0180371352785146,16,0.00371352785145889,-2.27309702201553,-2.54651647736062
2,2,1,9,10398,41.1456439940373,-122.656932222543,1540.57552894787,30.5159819195999,0.0838622812079246,22.3635314483555,0.0051933064050779,-1.96038444390337,-1.96628498818839
1,3,1,9,69712,41.7573642271058,-122.302978683727,1117.57065770599,27.2543866192334,0.0515980032132201,23.8359823272894,0.00985483130594446,-2.17923219375025,-2.17703690314359
3,3,1,9,98552,40.7466388302622,-122.268258127689,1229.33635136781,31.7492030603133,0.0797244094488189,26.5953912655248,0.0257731958762887,-2.04516609071564,-1.98132982612272
6,3,1,9,26059,39.3415836419279,-122.353575660041,1127.39948654975,25.2629901377643,0.098622356959208,13.4056563951034,0.0010361103649411,-2.35683657274133,-2.69243554669227
2,4,1,9,61914,41.280709431631,-121.710260906257,1704.64881577672,21.8767059146558,0.0587750751041768,26.0968601608683,0.031769874341829,-1.87138635275007,-2.11554361790518
9,4,1,9,19984,37.8224454563651,-121.65195281225,130.439579663731,18.9960728582866,0.088871096877502,26.205014011209,0.0283226581265012,-1.87964348684111,-1.95727331492206
4,5,1,9,24348,40.2240918145228,-121.290370358962,864.972525874815,22.190746673238,0.0295301462132413,25.0516674880894,0.00119106292097914,-1.86238682071439,-2.24095117280593
3,6,1,9,15535,40.6394522449308,-120.711909599292,1341.03787447699,18.2173183134857,0.133054393305439,58.3992919214677,0.00753138075313808,-1.086230863744,-1.60371768442249
